init_date,valid_date,lead_hours,region,forecast_precip_mm,forecast_temp_c,observed_precip_mm,regime,forecast_error_mm,month,doy,predicted_regime,corrected_precip_mm,corrected_error_mm,abs_corrected_error,is_bust,regime_confidence,bust_probability
2023-06-01,2023-06-04,72,Maharashtra,0.0437791384756565,29.631677246093773,3.740820407867432,break,-3.697041269391776,6,155,break,3.256592341601404,-0.4842280662660281,0.4842280662660281,0,1.0,0.19581803005115944
2023-06-02,2023-06-05,72,Maharashtra,0.1243444085121154,29.118035888671898,0.1155939325690269,break,0.0087504759430884,6,156,break,3.337157611637863,3.221563679068836,3.221563679068836,0,1.0,0.20222921084375167
2023-06-03,2023-06-06,72,Maharashtra,0.1331585049629211,29.167657470703148,0.2092629820108413,break,-0.0761044770479202,6,157,break,3.3459717080886686,3.1367087260778272,3.1367087260778272,0,1.0,0.20467407467557006
2023-06-04,2023-06-07,72,Maharashtra,0.0633741244673729,29.105584716796898,0.6966773271560669,break,-0.633303202688694,6,158,break,3.2761873275931204,2.5795100004370535,2.5795100004370535,0,1.0,0.20265553519494578
2023-06-05,2023-06-08,72,Maharashtra,0.0745192319154739,29.219110107421898,0.6524190306663513,break,-0.5778997987508774,6,159,break,3.2873324350412214,2.63491340437487,2.63491340437487,0,1.0,0.20523738466574412
2023-06-06,2023-06-09,72,Maharashtra,0.2062937021255493,28.972436523437523,0.7010871171951294,break,-0.4947934150695801,6,160,break,3.419106905251297,2.7180197880561674,2.7180197880561674,0,1.0,0.2148865765944705
2023-06-07,2023-06-10,72,Maharashtra,0.2356497645378112,28.885186767578148,2.9256060123443604,break,-2.689956247806549,6,161,break,3.4484629676635588,0.5228569553191984,0.5228569553191984,0,1.0,0.21866966882864636
2023-06-08,2023-06-11,72,Maharashtra,0.6663752794265747,28.153405761718773,0.9341292977333068,break,-0.267754018306732,6,162,break,3.879188482552322,2.9450591848190153,2.9450591848190153,0,0.985,0.24884612604474715
2023-06-09,2023-06-12,72,Maharashtra,0.8638548851013184,27.85079345703128,0.6969135403633118,break,0.1669413447380066,6,163,break,4.076668088227066,3.3797545478637545,3.3797545478637545,0,1.0,0.26320368520150217
2023-06-10,2023-06-13,72,Maharashtra,0.3527098000049591,28.462823486328148,0.4965474307537079,break,-0.1438376307487487,6,164,break,3.5655230031307066,3.0689755723769987,3.0689755723769987,0,0.975,0.2338321476133536
2023-06-11,2023-06-14,72,Maharashtra,0.2893356680870056,28.395166015625023,0.3376920223236084,break,-0.0483563542366027,6,165,break,3.502148871212753,3.1644568488891447,3.1644568488891447,0,1.0,0.2302970789415202
2023-06-12,2023-06-15,72,Maharashtra,0.1500582695007324,28.221459960937523,0.0286991707980632,break,0.1213590987026692,6,166,break,3.36287147262648,3.3341723018284166,3.3341723018284166,0,1.0,0.22384068220586983
2023-06-13,2023-06-16,72,Maharashtra,0.1525349617004394,28.219750976562523,0.102275975048542,break,0.0502589866518974,6,167,break,3.365348164826187,3.263072189777645,3.263072189777645,0,1.0,0.22608399006953425
2023-06-14,2023-06-17,72,Maharashtra,0.1315559446811676,28.228814697265648,0.1849124580621719,break,-0.0533565133810043,6,168,break,3.344369147806915,3.159456689744743,3.159456689744743,0,1.0,0.22689866017652763
2023-06-15,2023-06-18,72,Maharashtra,0.1277680695056915,28.570184326171898,0.4918260276317596,break,-0.3640579581260681,6,169,break,3.340581272631439,2.8487552449996794,2.8487552449996794,0,1.0,0.22877615707208004
2023-06-16,2023-06-19,72,Maharashtra,0.1752622425556183,27.978692626953148,0.2789344787597656,break,-0.1036722362041473,6,170,break,3.3880754456813658,3.1091409669216,3.1091409669216,0,1.0,0.2338677668328448
2023-06-17,2023-06-20,72,Maharashtra,0.2990238964557647,28.227960205078148,1.0540201663970947,break,-0.75499626994133,6,171,break,3.511837099581512,2.457816933184417,2.457816933184417,0,1.0,0.2439309687312559
2023-06-18,2023-06-21,72,Maharashtra,0.2749854326248169,27.981622314453148,2.353454351425171,break,-2.078468918800354,6,172,break,3.4877986357505644,1.1343442843253935,1.1343442843253935,0,1.0,0.24459153943973413
2023-06-19,2023-06-22,72,Maharashtra,0.2265442907810211,27.522637939453148,4.031919479370117,break,-3.805375188589096,6,173,break,3.4393574939067686,-0.5925619854633486,0.5925619854633486,0,1.0,0.24367448835758526
2023-06-20,2023-06-23,72,Maharashtra,0.7903555035591125,26.944421386718773,8.026448249816895,break,-7.236092746257782,6,174,break,4.0031687066848605,-4.023279543132034,4.023279543132034,0,1.0,0.2843182059778133
2023-06-21,2023-06-24,72,Maharashtra,1.4592074155807495,25.782861328125023,12.0182523727417,break,-10.55904495716095,6,175,break,4.672020618706497,-7.346231754035202,7.346231754035202,0,0.905,0.3451941057094228
2023-06-22,2023-06-25,72,Maharashtra,0.8625437021255493,25.819268798828148,8.153011322021484,break,-7.290467619895935,6,176,break,4.075356905251297,-4.077654416770187,4.077654416770187,0,0.95,0.29847206483643546
