init_date,valid_date,lead_hours,region,forecast_precip_mm,forecast_temp_c,observed_precip_mm,regime,forecast_error_mm
2023-06-01,2023-06-04,72,Maharashtra,0.0437791384756565,29.631677246093773,3.740820407867432,break,-3.6970412693917756
2023-06-02,2023-06-05,72,Maharashtra,0.1243444085121154,29.118035888671898,0.1155939325690269,break,0.00875047594308849
2023-06-03,2023-06-06,72,Maharashtra,0.1331585049629211,29.167657470703148,0.2092629820108413,break,-0.0761044770479202
2023-06-04,2023-06-07,72,Maharashtra,0.0633741244673729,29.105584716796898,0.6966773271560669,break,-0.633303202688694
2023-06-05,2023-06-08,72,Maharashtra,0.0745192319154739,29.219110107421898,0.6524190306663513,break,-0.5778997987508774
2023-06-06,2023-06-09,72,Maharashtra,0.2062937021255493,28.972436523437523,0.7010871171951294,break,-0.4947934150695801
2023-06-07,2023-06-10,72,Maharashtra,0.2356497645378112,28.885186767578148,2.9256060123443604,break,-2.689956247806549
2023-06-08,2023-06-11,72,Maharashtra,0.6663752794265747,28.153405761718773,0.9341292977333068,break,-0.26775401830673207
2023-06-09,2023-06-12,72,Maharashtra,0.8638548851013184,27.850793457031276,0.6969135403633118,break,0.1669413447380066
2023-06-10,2023-06-13,72,Maharashtra,0.3527098000049591,28.462823486328148,0.4965474307537079,break,-0.14383763074874878
2023-06-11,2023-06-14,72,Maharashtra,0.2893356680870056,28.395166015625023,0.3376920223236084,break,-0.04835635423660278
2023-06-12,2023-06-15,72,Maharashtra,0.1500582695007324,28.221459960937523,0.0286991707980632,break,0.1213590987026692
2023-06-13,2023-06-16,72,Maharashtra,0.1525349617004394,28.219750976562523,0.102275975048542,break,0.0502589866518974
2023-06-14,2023-06-17,72,Maharashtra,0.1315559446811676,28.228814697265648,0.1849124580621719,break,-0.053356513381004306
2023-06-15,2023-06-18,72,Maharashtra,0.1277680695056915,28.570184326171898,0.4918260276317596,break,-0.3640579581260681
2023-06-16,2023-06-19,72,Maharashtra,0.1752622425556183,27.978692626953148,0.2789344787597656,break,-0.10367223620414734
2023-06-17,2023-06-20,72,Maharashtra,0.2990238964557647,28.227960205078148,1.0540201663970947,break,-0.75499626994133
2023-06-18,2023-06-21,72,Maharashtra,0.2749854326248169,27.981622314453148,2.353454351425171,break,-2.078468918800354
2023-06-19,2023-06-22,72,Maharashtra,0.2265442907810211,27.522637939453148,4.031919479370117,break,-3.805375188589096
2023-06-20,2023-06-23,72,Maharashtra,0.7903555035591125,26.944421386718773,8.026448249816895,break,-7.236092746257782
2023-06-21,2023-06-24,72,Maharashtra,1.4592074155807495,25.782861328125023,12.0182523727417,break,-10.55904495716095
2023-06-22,2023-06-25,72,Maharashtra,0.8625437021255493,25.819268798828148,8.153011322021484,break,-7.290467619895935
2023-06-23,2023-06-26,72,Maharashtra,1.5598047971725464,24.887872314453148,12.776752471923828,active,-11.216947674751282
2023-06-24,2023-06-27,72,Maharashtra,3.3782780170440674,24.5153747558594,17.421796798706055,active,-14.043518781661987
2023-06-25,2023-06-28,72,Maharashtra,2.508595466613769,24.134118652343773,17.285057067871094,active,-14.776461601257324
2023-06-26,2023-06-29,72,Maharashtra,1.6541374921798706,24.016778564453148,10.723336219787598,active,-9.069198727607727
2023-06-27,2023-06-30,72,Maharashtra,4.707458972930908,24.423913574218773,9.85964298248291,active,-5.152184009552002
2023-06-28,2023-07-01,72,Maharashtra,3.62128496170044,24.305627441406276,7.745876312255859,active,-4.12459135055542
2023-06-29,2023-07-02,72,Maharashtra,0.8717220425605774,25.220056152343773,5.358013153076172,active,-4.4862911105155945
2023-06-30,2023-07-03,72,Maharashtra,0.9441288113594056,25.920922851562523,6.387117385864258,break,-5.442988574504852
2023-07-01,2023-07-04,72,Maharashtra,5.275859355926514,25.533959960937523,22.743701934814453,active,-17.46784257888794
2023-07-02,2023-07-05,72,Maharashtra,6.257648468017578,24.824426269531276,15.740690231323242,active,-9.483041763305664
2023-07-03,2023-07-06,72,Maharashtra,5.169434547424316,24.239312744140648,15.159356117248535,active,-9.989921569824219
2023-07-04,2023-07-07,72,Maharashtra,6.26245641708374,23.759393310546898,13.584771156311035,active,-7.322314739227295
